------nB--nB--nB||----nB--nB--nB--||------nB--nB--nB||nR--nB----------||--nR------------||------------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
------nB--nB--nB||----nB--nB--nB--||------nB--nB--nB||nR--nB----------||--nR------------||nR----------nR--||----------nR--nR||nR--nR--nR--nR--|| 1 0
------nB--nB--nB||----nR--nB--nB--||----------nB--nB||----nB----------||--nR--nR--------||nR----------nR--||----------nR--nR||nR------nR--nR--|| 1 0
------nB--nB--nB||----nR--nB--nB--||------nB--nB--nB||----------------||--nR------------||nR--nB------nR--||--nR------nR--nR||nR------nR--nR--|| 1 0
------nB--nB--nB||----nR--nB--nB--||------nB--nB--nB||----------------||--nR--nB--------||nR----------nR--||--nR------nR--nR||nR------nR--nR--|| 1 0
------nB--nB--nB||----nR--nB--nB--||------nB--nB--nB||----------------||--nR--nR--------||nR----------nR--||----------nR--nR||nR------nR--nR--|| 1 0
------nB--nB--nB||----nR--nB--nB--||------nR--nB--nB||----------------||------nR--------||nR----------nR--||----------nR--nR||nR------nR--nR--|| 1 0
------nB--nB--nB||nB--nB--nB--nB--||--nR--nB--nB--nB||nR--------------||----------------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
------nB--nB--nB||nB--nB--nB--nB--||--nR--nB--nB--nB||nR--------------||--nR------------||------------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--kR------kR--nB||----------------||----------------||----nR----------||------nR------nR||----------------||--------------nR||kB----------nR--|| 1 0
--kR------kR--nB||----------------||----------------||----nR----------||------nR------nR||----------------||--kB----------nR||------------nR--|| 1 0
--nB--nB--nB--nB||----nB--nB--nB--||------nB--nB--nB||nR--nB----------||------nR--------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||----nB--nB--nB--||--nB--nB--nB--nB||----------------||--nR--nR--------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||----nB--nB--nB--||--nB--nB--nB--nB||nR--------------||------nR--------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||----nB--nB--nB--||--nR--nB--nB--nB||nR--------------||----------------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||nB--nB--nB--nB--||------nB--nB--nB||----------------||------nR--------||nR--nB------nR--||--nR--nR--nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||nB--nB--nB--nB--||------nB--nB--nB||----------------||--nR--nR--------||nR----------nR--||--nR------nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||nB--nB--nB--nB--||------nB--nB--nB||nB--------------||--nR------------||nR------nR--nR--||--nR--nR--nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||nB--nB--nB--nB--||------nB--nB--nB||nB--------------||--nR--nR--------||nR----------nR--||--nR--nR--nR--nR||nR--nR--nR--nR--|| 1 0
--nB--nB--nB--nB||nB--nB--nB--nB--||--nB--nB--nB--nB||----------------||--nR------------||nR------nR--nR--||--nR--nR--nR--nR||nR--nR--nR--nR--|| 1 0
